Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-2022-00001,2022-08-20,2022-08-23,Second Class,CUS-7445,Thomas Rodriguez X,Consumer,Newark,New Jersey,East,Technology,Machines,Brother Inkjet Printer,762.55,6,0.1,62.72
ORD-2023-00002,2023-10-26,2023-10-28,First Class,CUS-7025,Robert Williams,Home Office,Minneapolis,Minnesota,Central,Furniture,Bookcases,5-Shelf Bookcase,445.18,3,0.1,26.05
ORD-2023-00003,2023-04-22,2023-04-25,First Class,CUS-2673,Thomas Taylor,Consumer,Charlotte,North Carolina,South,Furniture,Furnishings,Picture Frame,642.19,2,0.0,145.33
ORD-2023-00004,2023-09-23,2023-09-30,Standard Class,CUS-8271,Barbara Lopez,Consumer,New York City,New York,East,Technology,Accessories,Webcam,1733.2,3,0.0,291.81
ORD-2023-00005,2023-01-12,2023-01-19,Standard Class,CUS-5810,Daniel Hill U,Consumer,Las Vegas,Nevada,West,Office Supplies,Fasteners,Stapler,83.75,10,0.0,7.32
ORD-2023-00006,2023-07-26,2023-07-28,First Class,CUS-2431,Elizabeth Wilson Q,Consumer,Houston,Texas,Central,Office Supplies,Paper,Notebook,104.68,5,0.2,18.57
ORD-2022-00007,2022-04-01,2022-04-03,First Class,CUS-3894,Michael Brown U,Corporate,Raleigh,North Carolina,South,Furniture,Bookcases,Stackable Bookcase,1353.03,2,0.3,-19.78
ORD-2023-00008,2023-03-19,2023-03-24,Standard Class,CUS-4610,Patricia Sanchez L,Corporate,Jersey City,New Jersey,East,Office Supplies,Labels,File Labels,186.62,1,0.0,31.94
ORD-2022-00009,2022-09-26,2022-10-01,Second Class,CUS-9219,Susan Sanchez Z,Consumer,Salem,Oregon,West,Furniture,Bookcases,Stackable Bookcase,262.74,4,0.1,46.65
ORD-2023-00010,2023-07-23,2023-07-30,Standard Class,CUS-7449,Jessica Gonzalez N,Corporate,Spokane,Washington,West,Technology,Copiers,Xerox Machine,791.04,2,0.3,110.9
ORD-2022-00011,2022-07-26,2022-07-31,Second Class,CUS-5755,Linda Torres S,Consumer,Grand Rapids,Michigan,Central,Office Supplies,Art,Paint Set,87.14,4,0.1,18.79
ORD-2023-00012,2023-02-27,2023-02-27,Same Day,CUS-4720,Sandra Wright W,Corporate,Dallas,Texas,Central,Furniture,Chairs,Executive Office Chair,210.82,3,0.0,54.79
ORD-2022-00013,2022-12-23,2022-12-29,Standard Class,CUS-9828,Charles Jones D,Corporate,Atlanta,Georgia,South,Technology,Phones,Samsung Galaxy Phone,808.54,1,0.3,34.12
ORD-2022-00014,2022-08-05,2022-08-12,Standard Class,CUS-3445,Linda Johnson A,Home Office,Madison,Wisconsin,Central,Technology,Copiers,Sharp Copier,110.91,6,0.2,-7.03
ORD-2023-00015,2023-09-16,2023-09-18,First Class,CUS-9635,Christopher Garcia D,Consumer,Detroit,Michigan,Central,Technology,Machines,Brother Inkjet Printer,128.94,2,0.3,-23.74
ORD-2023-00016,2023-12-05,2023-12-07,First Class,CUS-7915,Elizabeth Martinez,Consumer,New Haven,Connecticut,East,Office Supplies,Supplies,Push Pins,104.67,6,0.15,29.16
ORD-2022-00017,2022-10-13,2022-10-16,Second Class,CUS-2431,Elizabeth Wilson Q,Consumer,Cleveland,Ohio,Central,Office Supplies,Art,Paint Set,72.99,2,0.0,18.92
ORD-2023-00018,2023-12-06,2023-12-11,Standard Class,CUS-3894,Michael Brown U,Corporate,Stamford,Connecticut,East,Technology,Phones,Samsung Galaxy Phone,856.68,1,0.2,-5.72
ORD-2023-00019,2023-04-15,2023-04-21,Standard Class,CUS-3534,Susan Wilson,Home Office,Raleigh,North Carolina,South,Office Supplies,Binders,Folder Set,61.06,3,0.1,-13.15
ORD-2022-00020,2022-01-08,2022-01-13,Standard Class,CUS-8619,Linda White B,Home Office,Seattle,Washington,West,Office Supplies,Binders,Presentation Binder,32.63,1,0.1,5.93
ORD-2022-00021,2022-03-10,2022-03-17,Standard Class,CUS-9503,William Brown N,Consumer,Springfield,Massachusetts,East,Technology,Copiers,Sharp Copier,1324.35,1,0.0,117.6
ORD-2022-00022,2022-10-26,2022-11-01,Standard Class,CUS-3096,Christopher Ramirez P,Corporate,Baton Rouge,Louisiana,South,Furniture,Bookcases,5-Shelf Bookcase,415.08,1,0.1,92.29
ORD-2022-00023,2022-07-06,2022-07-09,First Class,CUS-4720,Sandra Wright W,Consumer,Memphis,Tennessee,South,Technology,Machines,Desktop Computer,540.95,1,0.2,11.12
ORD-2023-00024,2023-06-01,2023-06-05,Second Class,CUS-7508,Matthew Moore F,Corporate,Denver,Colorado,West,Office Supplies,Envelopes,Manila Envelopes,40.39,4,0.1,7.4
ORD-2022-00025,2022-02-08,2022-02-11,First Class,CUS-5159,Elizabeth White W,Consumer,Birmingham,Alabama,South,Technology,Copiers,Sharp Copier,265.24,1,0.0,35.17
ORD-2023-00026,2023-08-18,2023-08-22,Second Class,CUS-0504,Dorothy Smith Y,Consumer,Shreveport,Louisiana,South,Office Supplies,Labels,Name Tags,137.97,2,0.0,-0.4
ORD-2022-00027,2022-12-18,2022-12-18,Same Day,CUS-9656,Richard Miller G,Home Office,Tacoma,Washington,West,Office Supplies,Envelopes,Padded Mailers,65.35,3,0.1,32.53
ORD-2023-00028,2023-04-12,2023-04-18,Standard Class,CUS-1286,Richard Gonzalez,Corporate,Rockville,Maryland,East,Furniture,Bookcases,5-Shelf Bookcase,516.61,1,0.0,134.8
ORD-2022-00029,2022-01-19,2022-01-25,Standard Class,CUS-7159,Andrew Garcia E,Consumer,Memphis,Tennessee,South,Furniture,Chairs,Stacking Chair,189.25,5,0.15,26.27
ORD-2022-00030,2022-03-05,2022-03-09,Second Class,CUS-0553,Karen Robinson C,Corporate,Philadelphia,Pennsylvania,East,Technology,Copiers,Xerox Machine,324.67,2,0.2,16.27
ORD-2023-00031,2023-05-19,2023-05-22,Second Class,CUS-9219,Susan Sanchez Z,Consumer,Virginia Beach,Virginia,East,Technology,Accessories,Keyboard,316.69,1,0.0,54.54
ORD-2023-00032,2023-08-23,2023-08-27,Second Class,CUS-0504,Dorothy Smith Y,Consumer,Chicago,Illinois,Central,Office Supplies,Envelopes,Padded Mailers,500.0,4,0.1,123.18
ORD-2022-00033,2022-07-04,2022-07-07,Second Class,CUS-5799,William Robinson M,Corporate,Portland,Oregon,West,Furniture,Chairs,Ergonomic Mesh Chair,378.39,4,0.1,48.6
ORD-2023-00034,2023-12-13,2023-12-20,Standard Class,CUS-5755,Linda Torres S,Consumer,Nashville,Tennessee,South,Technology,Phones,Desk Phone,285.86,3,0.0,40.6
ORD-2022-00035,2022-11-27,2022-12-04,Standard Class,CUS-5523,Mary Garcia G,Corporate,Virginia Beach,Virginia,East,Office Supplies,Supplies,Glue Sticks,316.92,2,0.2,75.09
ORD-2023-00036,2023-06-11,2023-06-13,First Class,CUS-9219,Susan Sanchez Z,Consumer,Salem,Oregon,West,Technology,Copiers,Ricoh Copier,192.99,5,0.3,-33.65
ORD-2023-00037,2023-06-04,2023-06-05,Same Day,CUS-5451,Steven Hill I,Corporate,Rockville,Maryland,East,Office Supplies,Fasteners,Paper Clips,149.21,2,0.2,30.93
ORD-2022-00038,2022-05-18,2022-05-24,Standard Class,CUS-4416,Thomas Williams V,Home Office,Baton Rouge,Louisiana,South,Furniture,Chairs,Folding Chair,79.76,1,0.3,-11.33
ORD-2022-00039,2022-02-15,2022-02-22,Standard Class,CUS-5548,Jennifer Young F,Corporate,Aurora,Colorado,West,Office Supplies,Envelopes,Manila Envelopes,34.9,1,0.3,-14.35
ORD-2022-00040,2022-02-09,2022-02-10,Same Day,CUS-7935,Barbara Jones P,Consumer,Green Bay,Wisconsin,Central,Office Supplies,Paper,Sticky Notes,118.23,6,0.2,22.64
ORD-2023-00041,2023-06-11,2023-06-16,Second Class,CUS-0894,Elizabeth Hernandez G,Consumer,Memphis,Tennessee,South,Furniture,Tables,Corner Desk,690.56,6,0.15,1.57
ORD-2023-00042,2023-07-22,2023-07-24,First Class,CUS-9025,Karen Allen U,Consumer,Orlando,Florida,South,Technology,Machines,HP LaserJet Printer,587.81,3,0.2,-40.92
ORD-2022-00043,2022-02-16,2022-02-22,Standard Class,CUS-7828,Margaret Lopez Q,Home Office,New Orleans,Louisiana,South,Office Supplies,Fasteners,Binder Clips,92.07,7,0.2,0.93
ORD-2022-00044,2022-04-21,2022-04-24,First Class,CUS-5121,Joshua Gonzalez V,Consumer,Las Vegas,Nevada,West,Office Supplies,Binders,3-Ring Binder,99.22,4,0.0,18.18
ORD-2023-00045,2023-06-12,2023-06-17,Standard Class,CUS-9170,Jennifer Nguyen E,Consumer,Tucson,Arizona,West,Technology,Accessories,Wireless Mouse,157.04,3,0.15,14.9
ORD-2022-00046,2022-04-15,2022-04-18,First Class,CUS-9241,Sandra Jackson D,Corporate,Durham,North Carolina,South,Furniture,Furnishings,Picture Frame,215.05,1,0.2,69.74
ORD-2023-00047,2023-11-14,2023-11-17,First Class,CUS-5810,Daniel Hill U,Consumer,Charlotte,North Carolina,South,Office Supplies,Supplies,Scissors,113.54,3,0.1,25.62
ORD-2023-00048,2023-05-01,2023-05-06,Second Class,CUS-4610,Patricia Sanchez L,Consumer,Trenton,New Jersey,East,Office Supplies,Envelopes,Business Envelopes,294.11,1,0.0,76.6
ORD-2022-00049,2022-11-04,2022-11-06,First Class,CUS-7643,Michael Miller,Consumer,Madison,Wisconsin,Central,Furniture,Bookcases,3-Shelf Bookcase,654.58,2,0.15,3.41
